year SL_MMCP2.6 SL_MMCP4.5 SL_MMCP6.0 SL_MMCP-break SL_MMCP8.5 SL_MMCP-feedback 
 2001 0.000 0.000 0.000 0.000 0.000 0.000 
 2002 0.002 0.001 0.002 0.002 0.002 0.002 
 2003 0.004 0.003 0.004 0.004 0.004 0.004 
 2004 0.006 0.005 0.006 0.006 0.006 0.006 
 2005 0.007 0.006 0.007 0.008 0.008 0.008 
 2006 0.008 0.007 0.008 0.009 0.009 0.009 
 2007 0.010 0.010 0.009 0.010 0.010 0.010 
 2008 0.012 0.011 0.010 0.012 0.012 0.012 
 2009 0.015 0.012 0.012 0.014 0.014 0.014 
 2010 0.018 0.015 0.015 0.016 0.016 0.016 
 2011 0.020 0.017 0.018 0.018 0.018 0.018 
 2012 0.021 0.020 0.022 0.021 0.021 0.021 
 2013 0.023 0.023 0.024 0.025 0.025 0.025 
 2014 0.025 0.025 0.024 0.027 0.027 0.027 
 2015 0.028 0.028 0.026 0.030 0.030 0.030 
 2016 0.029 0.030 0.028 0.032 0.032 0.032 
 2017 0.031 0.032 0.030 0.034 0.034 0.034 
 2018 0.033 0.034 0.033 0.036 0.036 0.036 
 2019 0.035 0.037 0.035 0.039 0.039 0.039 
 2020 0.038 0.039 0.038 0.041 0.041 0.041 
 2021 0.040 0.042 0.041 0.044 0.044 0.044 
 2022 0.041 0.044 0.043 0.046 0.046 0.046 
 2023 0.043 0.046 0.044 0.049 0.049 0.049 
 2024 0.046 0.048 0.046 0.051 0.051 0.051 
 2025 0.048 0.050 0.048 0.054 0.054 0.054 
 2026 0.051 0.052 0.050 0.057 0.057 0.057 
 2027 0.053 0.054 0.053 0.059 0.059 0.059 
 2028 0.055 0.057 0.055 0.063 0.063 0.063 
 2029 0.058 0.060 0.057 0.066 0.066 0.066 
 2030 0.060 0.063 0.059 0.069 0.069 0.069 
 2031 0.062 0.066 0.062 0.071 0.071 0.071 
 2032 0.064 0.068 0.064 0.074 0.074 0.074 
 2033 0.066 0.070 0.067 0.076 0.076 0.076 
 2034 0.069 0.072 0.069 0.080 0.080 0.080 
 2035 0.072 0.076 0.072 0.083 0.083 0.083 
 2036 0.075 0.077 0.076 0.086 0.086 0.086 
 2037 0.077 0.079 0.079 0.089 0.089 0.089 
 2038 0.079 0.080 0.081 0.092 0.092 0.092 
 2039 0.082 0.083 0.083 0.095 0.095 0.095 
 2040 0.084 0.085 0.086 0.097 0.097 0.097 
 2041 0.086 0.088 0.089 0.099 0.099 0.099 
 2042 0.088 0.091 0.091 0.102 0.102 0.102 
 2043 0.089 0.094 0.094 0.105 0.105 0.105 
 2044 0.092 0.097 0.097 0.109 0.109 0.109 
 2045 0.094 0.100 0.100 0.111 0.111 0.111 
 2046 0.096 0.103 0.102 0.115 0.115 0.115 
 2047 0.098 0.107 0.104 0.119 0.119 0.119 
 2048 0.101 0.110 0.108 0.123 0.123 0.123 
 2049 0.103 0.112 0.110 0.127 0.127 0.127 
 2050 0.105 0.114 0.113 0.131 0.131 0.131 
 2051 0.107 0.116 0.116 0.134 0.134 0.134 
 2052 0.109 0.119 0.119 0.137 0.137 0.137 
 2053 0.111 0.121 0.122 0.140 0.140 0.140 
 2054 0.113 0.125 0.125 0.144 0.144 0.144 
 2055 0.115 0.128 0.128 0.147 0.147 0.147 
 2056 0.117 0.132 0.132 0.151 0.151 0.151 
 2057 0.119 0.135 0.135 0.155 0.155 0.155 
 2058 0.121 0.139 0.138 0.160 0.160 0.160 
 2059 0.124 0.142 0.141 0.164 0.164 0.164 
 2060 0.127 0.145 0.145 0.168 0.168 0.168 
 2061 0.132 0.148 0.148 0.171 0.171 0.171 
 2062 0.134 0.151 0.151 0.176 0.176 0.176 
 2063 0.137 0.154 0.154 0.180 0.180 0.180 
 2064 0.139 0.156 0.158 0.184 0.184 0.184 
 2065 0.141 0.160 0.162 0.188 0.188 0.188 
 2066 0.143 0.162 0.165 0.192 0.192 0.192 
 2067 0.146 0.166 0.167 0.197 0.197 0.197 
 2068 0.149 0.169 0.170 0.201 0.201 0.201 
 2069 0.151 0.172 0.174 0.204 0.204 0.204 
 2070 0.153 0.176 0.177 0.209 0.209 0.209 
 2071 0.156 0.180 0.181 0.214 0.214 0.214 
 2072 0.159 0.184 0.185 0.220 0.220 0.220 
 2073 0.161 0.187 0.190 0.225 0.225 0.225 
 2074 0.164 0.190 0.195 0.231 0.231 0.231 
 2075 0.167 0.193 0.198 0.237 0.237 0.237 
 2076 0.169 0.196 0.202 0.242 0.242 0.242 
 2077 0.172 0.200 0.205 0.247 0.247 0.247 
 2078 0.175 0.204 0.209 0.252 0.252 0.252 
 2079 0.178 0.207 0.213 0.256 0.256 0.256 
 2080 0.181 0.211 0.217 0.261 0.261 0.261 
 2081 0.184 0.214 0.221 0.267 0.267 0.267 
 2082 0.187 0.217 0.225 0.273 0.273 0.273 
 2083 0.189 0.221 0.230 0.279 0.279 0.279 
 2084 0.191 0.224 0.234 0.285 0.285 0.285 
 2085 0.193 0.228 0.238 0.290 0.290 0.290 
 2086 0.197 0.232 0.242 0.296 0.296 0.296 
 2087 0.200 0.235 0.246 0.302 0.302 0.302 
 2088 0.202 0.238 0.250 0.308 0.308 0.308 
 2089 0.205 0.240 0.254 0.315 0.315 0.315 
 2090 0.208 0.243 0.259 0.321 0.321 0.321 
 2091 0.211 0.247 0.263 0.327 0.327 0.327 
 2092 0.213 0.250 0.267 0.334 0.334 0.334 
 2093 0.215 0.253 0.271 0.341 0.341 0.341 
 2094 0.218 0.257 0.276 0.348 0.348 0.348 
 2095 0.221 0.262 0.280 0.355 0.355 0.355 
 2096 0.223 0.265 0.284 0.362 0.362 0.362 
 2097 0.226 0.269 0.288 0.370 0.370 0.370 
 2098 0.227 0.273 0.292 0.377 0.377 0.377 
 2099 0.229 0.276 0.296 0.384 0.384 0.384 
 2100 0.231 0.279 0.300 0.391 0.391 0.391 
 2101 0.233 0.283 0.304 0.399 0.399 0.399 
 2102 0.235 0.286 0.308 0.408 0.408 0.408 
 2103 0.237 0.290 0.313 0.417 0.417 0.417 
 2104 0.238 0.292 0.318 0.425 0.425 0.425 
 2105 0.239 0.296 0.323 0.432 0.432 0.432 
 2106 0.241 0.301 0.328 0.438 0.438 0.438 
 2107 0.243 0.305 0.333 0.445 0.445 0.445 
 2108 0.245 0.308 0.337 0.453 0.453 0.453 
 2109 0.248 0.311 0.342 0.461 0.461 0.461 
 2110 0.250 0.314 0.347 0.470 0.470 0.470 
 2111 0.251 0.318 0.353 0.478 0.478 0.478 
 2112 0.254 0.322 0.358 0.486 0.486 0.486 
 2113 0.256 0.326 0.363 0.494 0.494 0.494 
 2114 0.258 0.329 0.368 0.501 0.501 0.501 
 2115 0.262 0.333 0.373 0.508 0.508 0.508 
 2116 0.266 0.335 0.377 0.515 0.515 0.515 
 2117 0.270 0.339 0.381 0.522 0.522 0.522 
 2118 0.273 0.343 0.387 0.530 0.530 0.530 
 2119 0.276 0.347 0.392 0.537 0.537 0.537 
 2120 0.278 0.350 0.396 0.545 0.545 0.545 
 2121 0.279 0.354 0.400 0.552 0.552 0.552 
 2122 0.281 0.358 0.405 0.560 0.560 0.560 
 2123 0.282 0.361 0.410 0.569 0.569 0.569 
 2124 0.284 0.364 0.415 0.578 0.578 0.578 
 2125 0.287 0.367 0.420 0.586 0.586 0.586 
 2126 0.289 0.371 0.426 0.595 0.595 0.595 
 2127 0.292 0.374 0.431 0.603 0.603 0.603 
 2128 0.295 0.377 0.436 0.613 0.613 0.613 
 2129 0.297 0.380 0.440 0.624 0.624 0.624 
 2130 0.299 0.383 0.446 0.634 0.634 0.634 
 2131 0.301 0.387 0.450 0.644 0.644 0.644 
 2132 0.303 0.390 0.454 0.653 0.653 0.653 
 2133 0.305 0.394 0.459 0.664 0.664 0.664 
 2134 0.307 0.397 0.465 0.673 0.673 0.673 
 2135 0.308 0.399 0.470 0.683 0.683 0.683 
 2136 0.311 0.403 0.476 0.691 0.691 0.691 
 2137 0.313 0.406 0.481 0.700 0.700 0.700 
 2138 0.316 0.410 0.486 0.710 0.710 0.710 
 2139 0.318 0.413 0.492 0.719 0.719 0.719 
 2140 0.320 0.417 0.498 0.730 0.730 0.730 
 2141 0.322 0.421 0.503 0.740 0.740 0.740 
 2142 0.324 0.425 0.508 0.749 0.749 0.749 
 2143 0.326 0.429 0.513 0.758 0.758 0.758 
 2144 0.328 0.433 0.519 0.767 0.767 0.767 
 2145 0.330 0.437 0.524 0.776 0.776 0.776 
 2146 0.331 0.440 0.529 0.786 0.785 0.785 
 2147 0.332 0.442 0.535 0.795 0.796 0.796 
 2148 0.333 0.445 0.541 0.804 0.807 0.807 
 2149 0.336 0.447 0.546 0.813 0.816 0.816 
 2150 0.339 0.450 0.551 0.822 0.825 0.825 
 2151 0.342 0.452 0.557 0.832 0.835 0.835 
 2152 0.344 0.456 0.563 0.841 0.845 0.845 
 2153 0.345 0.461 0.569 0.851 0.855 0.855 
 2154 0.347 0.465 0.575 0.861 0.866 0.866 
 2155 0.348 0.469 0.582 0.870 0.878 0.878 
 2156 0.351 0.473 0.587 0.879 0.890 0.890 
 2157 0.354 0.477 0.592 0.888 0.901 0.901 
 2158 0.356 0.480 0.597 0.898 0.910 0.910 
 2159 0.359 0.484 0.603 0.910 0.920 0.920 
 2160 0.360 0.487 0.609 0.921 0.931 0.931 
 2161 0.362 0.490 0.615 0.932 0.942 0.942 
 2162 0.365 0.494 0.620 0.940 0.954 0.954 
 2163 0.367 0.498 0.626 0.949 0.965 0.965 
 2164 0.370 0.502 0.631 0.958 0.976 0.976 
 2165 0.371 0.506 0.636 0.968 0.988 0.988 
 2166 0.373 0.510 0.641 0.978 0.998 0.998 
 2167 0.375 0.513 0.646 0.988 1.008 1.008 
 2168 0.376 0.516 0.652 0.997 1.018 1.018 
 2169 0.377 0.519 0.657 1.007 1.028 1.028 
 2170 0.379 0.522 0.662 1.016 1.039 1.039 
 2171 0.381 0.525 0.667 1.026 1.051 1.051 
 2172 0.383 0.528 0.671 1.036 1.063 1.063 
 2173 0.385 0.531 0.675 1.046 1.076 1.076 
 2174 0.387 0.534 0.680 1.055 1.089 1.089 
 2175 0.389 0.537 0.687 1.065 1.100 1.100 
 2176 0.391 0.541 0.693 1.074 1.111 1.111 
 2177 0.392 0.544 0.699 1.084 1.122 1.122 
 2178 0.394 0.546 0.705 1.094 1.132 1.132 
 2179 0.396 0.550 0.711 1.105 1.144 1.144 
 2180 0.399 0.553 0.716 1.115 1.155 1.155 
 2181 0.401 0.556 0.721 1.125 1.167 1.167 
 2182 0.404 0.558 0.728 1.136 1.179 1.179 
 2183 0.406 0.562 0.734 1.146 1.193 1.193 
 2184 0.408 0.566 0.739 1.155 1.205 1.205 
 2185 0.409 0.569 0.744 1.164 1.216 1.216 
 2186 0.411 0.572 0.748 1.173 1.228 1.228 
 2187 0.412 0.575 0.753 1.181 1.240 1.240 
 2188 0.414 0.578 0.757 1.190 1.253 1.253 
 2189 0.415 0.582 0.762 1.200 1.265 1.265 
 2190 0.417 0.587 0.767 1.210 1.276 1.276 
 2191 0.419 0.590 0.773 1.220 1.287 1.287 
 2192 0.422 0.594 0.779 1.230 1.299 1.299 
 2193 0.424 0.596 0.785 1.238 1.311 1.311 
 2194 0.426 0.600 0.791 1.247 1.324 1.324 
 2195 0.427 0.604 0.796 1.255 1.335 1.335 
 2196 0.429 0.607 0.802 1.264 1.347 1.347 
 2197 0.431 0.610 0.808 1.271 1.357 1.357 
 2198 0.432 0.614 0.813 1.279 1.368 1.368 
 2199 0.433 0.617 0.818 1.290 1.381 1.381 
 2200 0.436 0.620 0.823 1.299 1.394 1.394 
 2201 0.438 0.623 0.828 1.309 1.406 1.406 
 2202 0.440 0.627 0.833 1.317 1.417 1.417 
 2203 0.441 0.631 0.839 1.326 1.429 1.429 
 2204 0.443 0.634 0.844 1.335 1.442 1.442 
 2205 0.444 0.638 0.850 1.343 1.455 1.455 
 2206 0.447 0.641 0.855 1.353 1.469 1.469 
 2207 0.449 0.645 0.860 1.363 1.482 1.482 
 2208 0.451 0.648 0.865 1.373 1.496 1.496 
 2209 0.454 0.650 0.870 1.382 1.509 1.509 
 2210 0.456 0.653 0.875 1.390 1.521 1.521 
 2211 0.457 0.656 0.880 1.399 1.532 1.532 
 2212 0.459 0.659 0.885 1.409 1.544 1.544 
 2213 0.461 0.663 0.890 1.418 1.556 1.556 
 2214 0.462 0.667 0.894 1.428 1.569 1.569 
 2215 0.463 0.670 0.899 1.439 1.582 1.582 
 2216 0.465 0.673 0.903 1.448 1.596 1.596 
 2217 0.466 0.678 0.907 1.457 1.610 1.610 
 2218 0.468 0.682 0.911 1.466 1.622 1.622 
 2219 0.470 0.687 0.916 1.475 1.636 1.636 
 2220 0.472 0.692 0.920 1.484 1.649 1.649 
 2221 0.474 0.695 0.924 1.493 1.662 1.662 
 2222 0.475 0.698 0.929 1.503 1.675 1.675 
 2223 0.478 0.702 0.934 1.513 1.688 1.688 
 2224 0.479 0.705 0.939 1.523 1.700 1.700 
 2225 0.481 0.709 0.944 1.533 1.713 1.713 
 2226 0.483 0.713 0.949 1.542 1.725 1.725 
 2227 0.485 0.716 0.955 1.551 1.737 1.737 
 2228 0.488 0.718 0.960 1.559 1.750 1.750 
 2229 0.490 0.721 0.965 1.566 1.761 1.761 
 2230 0.491 0.724 0.969 1.575 1.774 1.774 
 2231 0.492 0.728 0.974 1.582 1.787 1.787 
 2232 0.494 0.730 0.979 1.590 1.800 1.800 
 2233 0.496 0.733 0.984 1.597 1.813 1.813 
 2234 0.499 0.736 0.990 1.606 1.826 1.826 
 2235 0.500 0.739 0.994 1.616 1.839 1.839 
 2236 0.501 0.742 1.000 1.626 1.851 1.851 
 2237 0.503 0.745 1.005 1.635 1.864 1.864 
 2238 0.505 0.748 1.011 1.645 1.877 1.877 
 2239 0.507 0.751 1.018 1.655 1.888 1.888 
 2240 0.509 0.753 1.024 1.664 1.900 1.900 
 2241 0.511 0.756 1.030 1.674 1.911 1.911 
 2242 0.512 0.761 1.035 1.683 1.922 1.922 
 2243 0.513 0.764 1.039 1.693 1.935 1.935 
 2244 0.514 0.767 1.045 1.702 1.948 1.948 
 2245 0.517 0.770 1.050 1.711 1.961 1.961 
 2246 0.519 0.772 1.056 1.720 1.974 1.974 
 2247 0.521 0.775 1.062 1.730 1.986 1.986 
 2248 0.523 0.778 1.068 1.739 2.000 2.000 
 2249 0.524 0.782 1.072 1.748 2.013 2.013 
 2250 0.526 0.785 1.078 1.757 2.026 2.026 
 2251 0.527 0.788 1.082 1.765 2.039 2.039 
 2252 0.529 0.791 1.087 1.774 2.051 2.051 
 2253 0.531 0.794 1.092 1.783 2.063 2.063 
 2254 0.533 0.797 1.097 1.792 2.077 2.077 
 2255 0.534 0.801 1.103 1.800 2.089 2.089 
 2256 0.535 0.804 1.108 1.808 2.102 2.102 
 2257 0.536 0.807 1.114 1.817 2.114 2.114 
 2258 0.538 0.809 1.120 1.825 2.125 2.125 
 2259 0.539 0.811 1.125 1.835 2.138 2.138 
 2260 0.541 0.815 1.129 1.843 2.150 2.150 
 2261 0.542 0.818 1.133 1.853 2.163 2.163 
 2262 0.544 0.820 1.137 1.862 2.177 2.177 
 2263 0.546 0.822 1.142 1.870 2.191 2.191 
 2264 0.548 0.825 1.147 1.879 2.206 2.206 
 2265 0.550 0.829 1.153 1.889 2.221 2.221 
 2266 0.551 0.834 1.158 1.900 2.234 2.234 
 2267 0.552 0.838 1.163 1.909 2.247 2.247 
 2268 0.555 0.842 1.168 1.918 2.260 2.260 
 2269 0.557 0.845 1.173 1.927 2.271 2.271 
 2270 0.559 0.848 1.179 1.935 2.282 2.282 
 2271 0.561 0.852 1.185 1.944 2.295 2.295 
 2272 0.562 0.856 1.190 1.953 2.306 2.306 
 2273 0.564 0.860 1.195 1.963 2.317 2.317 
 2274 0.566 0.862 1.199 1.974 2.326 2.326 
 2275 0.568 0.865 1.205 1.985 2.336 2.336 
 2276 0.569 0.868 1.209 1.995 2.348 2.348 
 2277 0.571 0.872 1.213 2.005 2.359 2.359 
 2278 0.573 0.873 1.217 2.014 2.372 2.372 
 2279 0.575 0.877 1.222 2.024 2.383 2.383 
 2280 0.577 0.881 1.226 2.033 2.395 2.395 
 2281 0.579 0.884 1.231 2.041 2.407 2.407 
 2282 0.580 0.888 1.236 2.050 2.418 2.418 
 2283 0.582 0.891 1.241 2.058 2.429 2.429 
 2284 0.584 0.895 1.246 2.067 2.440 2.440 
 2285 0.585 0.899 1.251 2.074 2.452 2.452 
 2286 0.587 0.902 1.255 2.081 2.464 2.464 
 2287 0.589 0.905 1.260 2.088 2.476 2.476 
 2288 0.591 0.908 1.264 2.097 2.487 2.487 
 2289 0.592 0.911 1.269 2.106 2.497 2.497 
 2290 0.593 0.914 1.274 2.117 2.509 2.509 
 2291 0.595 0.917 1.279 2.127 2.520 2.520 
 2292 0.596 0.919 1.284 2.138 2.532 2.532 
 2293 0.598 0.921 1.290 2.147 2.544 2.544 
 2294 0.599 0.924 1.294 2.155 2.557 2.557 
 2295 0.601 0.928 1.299 2.165 2.572 2.572 
 2296 0.604 0.931 1.303 2.174 2.585 2.585 
 2297 0.606 0.934 1.307 2.184 2.598 2.598 
 2298 0.608 0.938 1.313 2.193 2.612 2.609 
 2299 0.610 0.941 1.318 2.203 2.625 2.618 
 2300 0.612 0.945 1.323 2.213 2.637 2.629 
 2301 0.613 0.947 1.328 2.223 2.650 2.641 
 2302 0.614 0.949 1.334 2.233 2.662 2.652 
 2303 0.616 0.952 1.339 2.243 2.673 2.664 
 2304 0.617 0.955 1.344 2.254 2.684 2.675 
 2305 0.619 0.958 1.349 2.264 2.695 2.686 
 2306 0.621 0.962 1.353 2.273 2.706 2.698 
 2307 0.623 0.965 1.358 2.282 2.719 2.710 
 2308 0.625 0.969 1.362 2.291 2.732 2.722 
 2309 0.627 0.972 1.367 2.300 2.746 2.734 
 2310 0.627 0.976 1.371 2.309 2.761 2.747 
 2311 0.629 0.979 1.375 2.318 2.774 2.761 
 2312 0.631 0.982 1.379 2.327 2.787 2.775 
 2313 0.633 0.984 1.382 2.336 2.799 2.787 
 2314 0.635 0.987 1.386 2.346 2.810 2.797 
 2315 0.637 0.989 1.389 2.356 2.822 2.808 
 2316 0.638 0.991 1.395 2.366 2.834 2.820 
 2317 0.639 0.992 1.399 2.377 2.847 2.834 
 2318 0.641 0.995 1.403 2.387 2.859 2.848 
 2319 0.644 0.997 1.407 2.396 2.871 2.862 
 2320 0.647 1.001 1.412 2.406 2.884 2.875 
 2321 0.649 1.005 1.417 2.414 2.895 2.889 
 2322 0.651 1.009 1.423 2.424 2.907 2.902 
 2323 0.653 1.012 1.428 2.433 2.918 2.915 
 2324 0.655 1.014 1.435 2.442 2.931 2.929 
 2325 0.657 1.016 1.440 2.451 2.946 2.941 
 2326 0.659 1.018 1.445 2.460 2.961 2.954 
 2327 0.661 1.020 1.450 2.469 2.974 2.967 
 2328 0.662 1.022 1.454 2.478 2.986 2.980 
 2329 0.663 1.024 1.458 2.487 2.997 2.994 
 2330 0.666 1.027 1.463 2.495 3.007 3.006 
 2331 0.668 1.031 1.468 2.503 3.018 3.018 
 2332 0.670 1.035 1.473 2.511 3.031 3.030 
 2333 0.671 1.039 1.476 2.520 3.043 3.043 
 2334 0.672 1.042 1.479 2.528 3.055 3.057 
 2335 0.674 1.045 1.483 2.538 3.066 3.071 
 2336 0.675 1.048 1.488 2.547 3.078 3.085 
 2337 0.676 1.051 1.492 2.557 3.089 3.098 
 2338 0.677 1.053 1.496 2.565 3.101 3.110 
 2339 0.678 1.057 1.500 2.572 3.113 3.123 
 2340 0.680 1.059 1.504 2.579 3.124 3.135 
 2341 0.681 1.062 1.509 2.587 3.135 3.147 
 2342 0.683 1.065 1.512 2.596 3.146 3.160 
 2343 0.683 1.068 1.516 2.605 3.159 3.172 
 2344 0.684 1.070 1.520 2.614 3.170 3.183 
 2345 0.686 1.072 1.524 2.623 3.182 3.195 
 2346 0.688 1.076 1.528 2.633 3.194 3.208 
 2347 0.690 1.079 1.532 2.643 3.208 3.224 
 2348 0.692 1.082 1.536 2.652 3.220 3.238 
 2349 0.694 1.085 1.540 2.659 3.233 3.251 
 2350 0.695 1.089 1.543 2.666 3.245 3.263 
 2351 0.697 1.092 1.547 2.674 3.257 3.275 
 2352 0.698 1.096 1.551 2.681 3.269 3.287 
 2353 0.700 1.100 1.555 2.688 3.280 3.300 
 2354 0.702 1.103 1.560 2.694 3.292 3.312 
 2355 0.703 1.107 1.565 2.701 3.303 3.324 
 2356 0.704 1.110 1.569 2.710 3.315 3.337 
 2357 0.705 1.113 1.573 2.717 3.327 3.349 
 2358 0.706 1.116 1.579 2.724 3.339 3.361 
 2359 0.707 1.120 1.583 2.731 3.353 3.374 
 2360 0.709 1.124 1.588 2.739 3.365 3.386 
 2361 0.711 1.127 1.592 2.747 3.378 3.400 
 2362 0.712 1.130 1.596 2.756 3.391 3.413 
 2363 0.714 1.133 1.601 2.765 3.404 3.425 
 2364 0.715 1.136 1.606 2.774 3.417 3.437 
 2365 0.717 1.139 1.610 2.783 3.429 3.451 
 2366 0.718 1.141 1.614 2.793 3.442 3.465 
 2367 0.720 1.144 1.618 2.802 3.453 3.478 
 2368 0.721 1.147 1.621 2.810 3.467 3.489 
 2369 0.722 1.150 1.624 2.819 3.480 3.499 
 2370 0.724 1.153 1.627 2.827 3.492 3.512 
 2371 0.727 1.156 1.631 2.835 3.504 3.523 
 2372 0.729 1.158 1.634 2.843 3.516 3.537 
 2373 0.731 1.162 1.638 2.851 3.528 3.550 
 2374 0.732 1.165 1.643 2.861 3.541 3.564 
 2375 0.734 1.168 1.647 2.870 3.555 3.578 
 2376 0.735 1.170 1.652 2.879 3.568 3.590 
 2377 0.737 1.172 1.656 2.889 3.582 3.601 
 2378 0.738 1.175 1.660 2.898 3.596 3.613 
 2379 0.739 1.178 1.665 2.907 3.608 3.625 
 2380 0.741 1.182 1.669 2.915 3.620 3.639 
 2381 0.743 1.184 1.674 2.924 3.633 3.651 
 2382 0.745 1.187 1.678 2.932 3.646 3.662 
 2383 0.747 1.189 1.681 2.940 3.659 3.674 
 2384 0.748 1.193 1.685 2.949 3.670 3.685 
 2385 0.748 1.197 1.689 2.958 3.681 3.699 
 2386 0.749 1.201 1.693 2.967 3.695 3.711 
 2387 0.750 1.203 1.698 2.977 3.707 3.724 
 2388 0.751 1.206 1.702 2.987 3.720 3.738 
 2389 0.753 1.209 1.706 2.996 3.732 3.751 
 2390 0.755 1.211 1.710 3.005 3.745 3.765 
 2391 0.756 1.213 1.714 3.013 3.758 3.778 
 2392 0.758 1.215 1.717 3.020 3.770 3.793 
 2393 0.758 1.217 1.722 3.028 3.783 3.806 
 2394 0.758 1.220 1.726 3.036 3.795 3.820 
 2395 0.759 1.223 1.729 3.044 3.807 3.833 
 2396 0.760 1.225 1.732 3.053 3.819 3.846 
 2397 0.760 1.228 1.735 3.062 3.832 3.857 
 2398 0.761 1.231 1.739 3.070 3.844 3.870 
 2399 0.762 1.233 1.744 3.078 3.856 3.884 
 2400 0.764 1.235 1.749 3.087 3.869 3.896 
 2401 0.765 1.238 1.754 3.096 3.881 3.909 
 2402 0.767 1.241 1.758 3.104 3.894 3.921 
 2403 0.768 1.244 1.761 3.112 3.907 3.931 
 2404 0.770 1.247 1.764 3.121 3.921 3.942 
 2405 0.771 1.249 1.767 3.130 3.934 3.954 
 2406 0.772 1.252 1.770 3.140 3.945 3.965 
 2407 0.773 1.254 1.773 3.148 3.956 3.977 
 2408 0.774 1.258 1.777 3.157 3.969 3.989 
 2409 0.776 1.261 1.782 3.167 3.983 4.001 
 2410 0.777 1.263 1.787 3.177 3.995 4.014 
 2411 0.779 1.266 1.791 3.186 4.006 4.026 
 2412 0.780 1.269 1.795 3.195 4.017 4.039 
 2413 0.781 1.271 1.798 3.203 4.030 4.052 
 2414 0.782 1.274 1.801 3.211 4.042 4.065 
 2415 0.782 1.276 1.804 3.217 4.053 4.078 
 2416 0.783 1.279 1.809 3.224 4.066 4.090 
 2417 0.784 1.283 1.813 3.232 4.081 4.103 
 2418 0.787 1.285 1.818 3.241 4.094 4.115 
 2419 0.788 1.288 1.822 3.249 4.108 4.128 
 2420 0.789 1.290 1.825 3.257 4.122 4.140 
 2421 0.790 1.293 1.829 3.266 4.137 4.152 
 2422 0.791 1.295 1.832 3.276 4.150 4.164 
 2423 0.793 1.298 1.837 3.286 4.164 4.177 
 2424 0.795 1.300 1.841 3.295 4.177 4.189 
 2425 0.797 1.303 1.843 3.303 4.190 4.201 
 2426 0.799 1.306 1.846 3.311 4.202 4.214 
 2427 0.801 1.308 1.851 3.320 4.214 4.227 
 2428 0.803 1.311 1.855 3.329 4.226 4.240 
 2429 0.804 1.312 1.858 3.338 4.237 4.252 
 2430 0.806 1.314 1.863 3.348 4.248 4.263 
 2431 0.807 1.316 1.868 3.357 4.259 4.276 
 2432 0.808 1.319 1.872 3.367 4.269 4.289 
 2433 0.810 1.322 1.876 3.377 4.281 4.302 
 2434 0.811 1.325 1.880 3.387 4.292 4.316 
 2435 0.813 1.327 1.885 3.396 4.303 4.329 
 2436 0.814 1.329 1.890 3.405 4.314 4.341 
 2437 0.816 1.332 1.894 3.415 4.325 4.352 
 2438 0.817 1.334 1.897 3.424 4.336 4.364 
 2439 0.818 1.337 1.902 3.434 4.347 4.376 
 2440 0.820 1.339 1.906 3.444 4.357 4.388 
 2441 0.821 1.343 1.910 3.453 4.367 4.401 
 2442 0.823 1.346 1.913 3.462 4.377 4.414 
 2443 0.825 1.349 1.917 3.470 4.388 4.428 
 2444 0.827 1.353 1.921 3.477 4.401 4.441 
 2445 0.829 1.356 1.924 3.486 4.414 4.452 
 2446 0.831 1.358 1.926 3.495 4.426 4.463 
 2447 0.833 1.360 1.930 3.503 4.438 4.476 
 2448 0.834 1.363 1.934 3.511 4.451 4.489 
 2449 0.835 1.365 1.937 3.519 4.465 4.503 
 2450 0.837 1.367 1.940 3.528 4.479 4.518 
 2451 0.838 1.370 1.944 3.537 4.491 4.531 
 2452 0.840 1.373 1.948 3.546 4.503 4.543 
 2453 0.842 1.374 1.953 3.555 4.515 4.557 
 2454 0.843 1.376 1.956 3.564 4.527 4.571 
 2455 0.844 1.377 1.961 3.574 4.540 4.586 
 2456 0.846 1.380 1.965 3.583 4.552 4.600 
 2457 0.848 1.382 1.968 3.591 4.564 4.615 
 2458 0.848 1.384 1.971 3.599 4.577 4.627 
 2459 0.850 1.387 1.974 3.606 4.589 4.640 
 2460 0.852 1.390 1.977 3.615 4.603 4.653 
 2461 0.854 1.393 1.981 3.625 4.615 4.668 
 2462 0.855 1.396 1.985 3.634 4.627 4.683 
 2463 0.855 1.399 1.990 3.645 4.640 4.698 
 2464 0.856 1.401 1.994 3.654 4.652 4.710 
 2465 0.858 1.403 1.998 3.663 4.665 4.724 
 2466 0.859 1.404 2.002 3.672 4.676 4.738 
 2467 0.861 1.406 2.005 3.680 4.690 4.753 
 2468 0.862 1.408 2.010 3.688 4.705 4.766 
 2469 0.864 1.408 2.013 3.696 4.718 4.779 
 2470 0.865 1.411 2.017 3.704 4.733 4.792 
 2471 0.866 1.413 2.022 3.713 4.747 4.806 
 2472 0.867 1.416 2.026 3.722 4.760 4.818 
 2473 0.868 1.418 2.032 3.732 4.773 4.829 
 2474 0.870 1.421 2.038 3.740 4.785 4.841 
 2475 0.871 1.425 2.042 3.748 4.797 4.854 
 2476 0.872 1.427 2.046 3.756 4.808 4.868 
 2477 0.873 1.429 2.050 3.763 4.820 4.882 
 2478 0.876 1.431 2.054 3.771 4.834 4.897 
 2479 0.877 1.433 2.058 3.780 4.846 4.912 
 2480 0.879 1.435 2.061 3.789 4.860 4.925 
