   1979.00	  -70.439	196.029
   1979.08	 -109.254	198.558
   1979.17	  -43.549	201.056
   1979.25	  -42.046	203.523
   1979.33	  -10.242	205.961
   1979.42	  -16.062	208.369
   1979.50	  -21.004	210.751
   1979.58	  -29.754	213.106
   1979.67	  -52.248	215.435
   1979.75	  -63.339	217.739
   1979.83	  -82.034	220.019
   1979.92	 -174.446	222.276
   1980.00	 -239.447	224.510
   1980.08	 -247.734	226.722
   1980.17	 -182.356	228.912
   1980.25	 -143.835	231.082
   1980.33	  -61.125	233.232
   1980.42	  -47.755	235.362
   1980.50	   22.448	237.473
   1980.58	   -3.025	239.565
   1980.67	  -16.441	241.639
   1980.75	  -29.628	243.696
   1980.83	 -107.980	245.735
   1980.92	 -152.995	247.758
   1981.00	 -223.320	249.764
   1981.08	 -253.623	251.754
   1981.17	 -222.837	253.729
   1981.25	 -188.710	255.688
   1981.33	 -170.642	257.632
   1981.42	  -62.826	259.562
   1981.50	    5.948	261.478
   1981.58	   10.849	263.379
   1981.67	   12.125	265.268
   1981.75	  -32.381	267.142
   1981.83	  -69.869	269.004
   1981.92	 -115.331	270.853
   1982.00	 -181.331	272.689
   1982.08	 -247.742	274.513
   1982.17	 -239.044	276.325
   1982.25	 -217.947	278.125
   1982.33	 -156.706	279.914
   1982.42	  -22.631	281.691
   1982.50	   -7.400	283.457
   1982.58	  -16.139	285.212
   1982.67	  -28.682	286.957
   1982.75	  -23.568	288.691
   1982.83	  -83.202	290.414
   1982.92	 -135.490	292.128
   1983.00	 -194.965	293.831
   1983.08	 -222.202	295.525
   1983.17	 -218.582	297.208
   1983.25	 -170.419	298.883
   1983.33	 -156.957	300.548
   1983.42	 -108.700	302.204
   1983.50	 -132.340	303.851
   1983.58	 -124.847	305.489
   1983.67	  -73.724	307.118
   1983.75	  -96.117	308.739
   1983.83	 -155.932	310.351
   1983.92	 -207.497	311.955
   1984.00	 -259.865	313.551
   1984.08	 -296.038	315.138
   1984.17	 -206.819	316.718
   1984.25	 -178.879	318.290
   1984.33	 -101.922	319.854
   1984.42	 -130.954	321.410
   1984.50	  -78.525	322.959
   1984.58	  -54.257	324.501
   1984.67	  -32.651	326.035
   1984.75	  -39.644	327.562
   1984.83	  -85.550	329.082
   1984.92	  -96.435	330.595
   1985.00	 -135.998	332.101
   1985.08	 -177.753	333.601
   1985.17	 -186.643	335.093
   1985.25	 -167.925	336.579
   1985.33	 -178.683	338.059
