1992	163	70	46	30	65	76	-16	46	258	117
1993	-30	76	42	30	41	76	-179	44	-126	120
1994	-25	77	-111	30	-30	76	-165	44	-331	121
1995	-159	51	-120	30	-17	76	-173	43	-468	105
1996	205	123	-132	30	80	76	-51	46	102	155
1997	61	97	-74	30	-18	76	-156	45	-187	134
1998	-209	45	16	30	-62	76	-179	43	-434	103
1999	-16	85	-117	30	-31	76	-170	44	-335	126
2000	-24	85	-21	30	-102	76	-130	44	-277	126
2001	-48	83	-69	30	-35	76	-112	43	-263	124
2002	-192	58	-117	30	105	76	-121	43	-325	109
2003	-216	13	-106	13	-8	18	-162	30	-492	39
2004	-196	12	-53	11	64	17	-210	31	-395	39
2005	-218	13	14	11	54	16	-225	30	-374	38
2006	-210	12	-124	11	45	17	-148	31	-437	39
2007	-289	10	-139	11	-44	17	-192	30	-663	38
2008	-199	11	-99	11	62	17	-190	31	-426	39
2009	-253	11	-273	11	212	17	-197	30	-511	38
2010	-426	9	-237	11	15	17	-185	30	-833	37
2011	-431	9	-236	12	154	18	-222	30	-735	38
2012	-450	10	-232	12	99	18	-201	31	-784	39
2013	-80	13	-254	12	39	18	-200	30	-495	39
2014	-225	13	-161	11	-148	17	-219	30	-753	39
2015	-217	13	-160	11	-16	17	-260	32	-653	40
2016	-263	23	-53	55	-70	28	-255	31	-641	73
