Change in global mean sea level (GMSL) in millimeters compared to 1995-2014 average - Satellite Altimeter Ensemble
Year,Central Estimate,Uncertainty (1-sigma)
1993.5,-32.266081062024256,4.813026379183913
1994.5,-29.693191311113566,4.277991287266999
1995.5,-26.55547311458983,3.787329987937498
1996.5,-23.820366563215856,3.405472951248562
1997.5,-20.467493854407593,3.1273182690550145
1998.5,-19.145369007059458,3.0096400651304553
1999.5,-18.07533286818932,2.657162890191068
2000.5,-14.915539324974816,2.551733886192048
2001.5,-9.972010990081316,2.4693810564013994
2002.5,-6.76732520678334,2.30479501574222
2003.5,-3.8948028009625375,2.2607207556821107
2004.5,-1.5946321264431447,2.2310480194984734
2005.5,2.6046846096886895,2.2146264989413464
2006.5,4.616563401634124,2.1992115545347444
2007.5,4.98064739038287,2.1962629317600557
2008.5,8.897700957221815,2.146772952847246
2009.5,13.18675514295424,2.0766510069699424
2010.5,14.831824584455717,2.115526647372078
2011.5,14.05466155447536,2.1541876074610316
2012.5,24.544327736681367,2.209282805644871
2013.5,27.16441711457003,2.2600598871854443
2014.5,30.326763364643398,2.349045822180438
2015.5,40.12167203742328,2.441775816896066
2016.5,43.56798947214307,2.507052973569885
2017.5,45.00748797227848,2.6363505330210053
2018.5,48.90478054314403,2.698641756438049
2019.5,55.646740893522434,2.698641756438049
